scheme,level_or_variant,operation,avg_us,source
Lore-SHAKE,L1,keypair,63.51,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L1,encaps,103.44,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L1,decaps,130.87,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L2,keypair,218.18,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L2,encaps,275.41,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L2,decaps,320.48,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L3,keypair,495.31,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L3,encaps,584.61,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L3,decaps,644.72,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L4,keypair,1040.18,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L4,encaps,1173.59,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L4,decaps,1292.41,Lore-SHAKE-Reference-before-wrapper
Lore-SHAKE,L1,keypair,35.63,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L1,encaps,68.62,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L1,decaps,95.48,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L2,keypair,113.08,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L2,encaps,164.86,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L2,decaps,211.73,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L3,keypair,249.98,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L3,encaps,309.22,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L3,decaps,385.20,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L4,keypair,388.56,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L4,encaps,516.44,Lore-SHAKE-Reference-pure-FIPS202
Lore-SHAKE,L4,decaps,671.46,Lore-SHAKE-Reference-pure-FIPS202
ML-KEM,ML-KEM-512,keypair,25.96,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-512,encaps,56.62,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-512,decaps,92.82,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-768,keypair,44.07,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-768,encaps,92.57,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-768,decaps,148.07,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-1024,keypair,65.23,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-1024,encaps,137.69,liboqs-ML-KEM-Reference
ML-KEM,ML-KEM-1024,decaps,217.77,liboqs-ML-KEM-Reference
