scheme,level,paper_name,classical_security,operation,iterations,warmup,avg_cycles,median_cycles,avg_us,median_us,pk_bytes,ct_bytes,sk_bytes,kappa,n,k,t,sm3_path,opt_status,failures
Lore-SM3,L1,Lore-128,128-bit,kem_keygen,10000,1000,188654,188260,65.21,65.08,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SM3,L1,Lore-128,128-bit,kem_encaps,10000,1000,306254,305730,105.86,105.67,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SM3,L1,Lore-128,128-bit,kem_decaps,10000,1000,385684,385274,133.30,133.16,610,706,2108,128,512,1,2,YES,AB_inline,0
Lore-SM3,L2,Lore-256,256-bit,kem_keygen,10000,1000,637222,636468,220.23,219.97,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SM3,L2,Lore-256,256-bit,kem_encaps,10000,1000,803064,801234,277.54,276.91,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SM3,L2,Lore-256,256-bit,kem_decaps,10000,1000,923990,922050,319.34,318.66,1186,1282,4518,256,512,2,2,YES,AB_inline,0
Lore-SM3,L3,Lore-384,384-bit,kem_keygen,10000,1000,1381237,1377194,477.35,475.95,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SM3,L3,Lore-384,384-bit,kem_encaps,10000,1000,1614764,1608642,558.05,555.93,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SM3,L3,Lore-384,384-bit,kem_decaps,10000,1000,1885601,1866594,651.65,645.08,1954,2114,7976,384,512,3,4,YES,AB_inline,0
Lore-SM3,L4,Lore-512,512-bit,kem_keygen,10000,1000,2964558,2938994,1024.53,1015.71,2914,3170,11672,512,768,3,4,YES,AB_inline,0
Lore-SM3,L4,Lore-512,512-bit,kem_encaps,10000,1000,3526333,3502896,1218.67,1210.57,2914,3170,11672,512,768,3,4,YES,AB_inline,0
Lore-SM3,L4,Lore-512,512-bit,kem_decaps,10000,1000,3833693,3811132,1324.90,1317.11,2914,3170,11672,512,768,3,4,YES,AB_inline,0
