version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SHAKE,Reference,L1,keypair,200,20,17588244,87941.22,11371.23,610,706,2108,32,0
SHAKE,Reference,L1,encaps,200,20,20767150,103835.75,9630.59,610,706,2108,32,0
SHAKE,Reference,L1,decaps,200,20,26325264,131626.32,7597.26,610,706,2108,32,0
SHAKE,Reference,L2,keypair,200,20,44116757,220583.79,4533.42,1186,1282,4518,32,0
SHAKE,Reference,L2,encaps,200,20,55149281,275746.41,3626.52,1186,1282,4518,32,0
SHAKE,Reference,L2,decaps,200,20,63946328,319731.64,3127.62,1186,1282,4518,32,0
SHAKE,Reference,L3,keypair,200,20,95364458,476822.29,2097.22,1954,2114,7976,32,0
SHAKE,Reference,L3,encaps,200,20,114530700,572653.50,1746.26,1954,2114,7976,32,0
SHAKE,Reference,L3,decaps,200,20,130585429,652927.15,1531.56,1954,2114,7976,32,0
SHAKE,Reference,L4,keypair,200,20,219638216,1098191.08,910.59,2914,3170,11672,32,0
SHAKE,Reference,L4,encaps,200,20,245075765,1225378.82,816.07,2914,3170,11672,32,0
SHAKE,Reference,L4,decaps,200,20,271410596,1357052.98,736.89,2914,3170,11672,32,0
SHAKE,Optimized,L1,keypair,200,20,17567441,87837.21,11384.70,610,706,2108,32,0
SHAKE,Optimized,L1,encaps,200,20,20346808,101734.04,9829.55,610,706,2108,32,0
SHAKE,Optimized,L1,decaps,200,20,25529424,127647.12,7834.10,610,706,2108,32,0
SHAKE,Optimized,L2,keypair,200,20,44079536,220397.68,4537.25,1186,1282,4518,32,0
SHAKE,Optimized,L2,encaps,200,20,54841096,274205.48,3646.90,1186,1282,4518,32,0
SHAKE,Optimized,L2,decaps,200,20,63714545,318572.72,3139.00,1186,1282,4518,32,0
SHAKE,Optimized,L3,keypair,200,20,96681658,483408.29,2068.64,1954,2114,7976,32,0
SHAKE,Optimized,L3,encaps,200,20,111984598,559922.99,1785.96,1954,2114,7976,32,0
SHAKE,Optimized,L3,decaps,200,20,127109962,635549.81,1573.44,1954,2114,7976,32,0
SHAKE,Optimized,L4,keypair,200,20,207602108,1038010.54,963.38,2914,3170,11672,32,0
SHAKE,Optimized,L4,encaps,200,20,234472651,1172363.25,852.98,2914,3170,11672,32,0
SHAKE,Optimized,L4,decaps,200,20,255691561,1278457.80,782.19,2914,3170,11672,32,0
