version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SM3,Reference,L1,keypair,200,20,17817677,89088.38,11224.81,610,706,2108,32,0
SM3,Reference,L1,encaps,200,20,20592661,102963.30,9712.20,610,706,2108,32,0
SM3,Reference,L1,decaps,200,20,25949869,129749.35,7707.17,610,706,2108,32,0
SM3,Reference,L2,keypair,200,20,44307988,221539.94,4513.86,1186,1282,4518,32,0
SM3,Reference,L2,encaps,200,20,55672538,278362.69,3592.44,1186,1282,4518,32,0
SM3,Reference,L2,decaps,200,20,64452597,322262.98,3103.06,1186,1282,4518,32,0
SM3,Reference,L3,keypair,200,20,95235984,476179.92,2100.05,1954,2114,7976,32,0
SM3,Reference,L3,encaps,200,20,113401650,567008.25,1763.64,1954,2114,7976,32,0
SM3,Reference,L3,decaps,200,20,130860682,654303.41,1528.34,1954,2114,7976,32,0
SM3,Reference,L4,keypair,200,20,208689627,1043448.14,958.36,2914,3170,11672,32,0
SM3,Reference,L4,encaps,200,20,238053065,1190265.32,840.15,2914,3170,11672,32,0
SM3,Reference,L4,decaps,200,20,266041916,1330209.58,751.76,2914,3170,11672,32,0
SM3,Optimized,L1,keypair,200,20,17369176,86845.88,11514.65,610,706,2108,32,0
SM3,Optimized,L1,encaps,200,20,20377844,101889.22,9814.58,610,706,2108,32,0
SM3,Optimized,L1,decaps,200,20,25714907,128574.54,7777.59,610,706,2108,32,0
SM3,Optimized,L2,keypair,200,20,44152021,220760.11,4529.80,1186,1282,4518,32,0
SM3,Optimized,L2,encaps,200,20,54747724,273738.62,3653.12,1186,1282,4518,32,0
SM3,Optimized,L2,decaps,200,20,63255198,316275.99,3161.80,1186,1282,4518,32,0
SM3,Optimized,L3,keypair,200,20,100383220,501916.10,1992.36,1954,2114,7976,32,0
SM3,Optimized,L3,encaps,200,20,117304849,586524.24,1704.96,1954,2114,7976,32,0
SM3,Optimized,L3,decaps,200,20,129415762,647078.81,1545.41,1954,2114,7976,32,0
SM3,Optimized,L4,keypair,200,20,207561839,1037809.19,963.57,2914,3170,11672,32,0
SM3,Optimized,L4,encaps,200,20,234359870,1171799.35,853.39,2914,3170,11672,32,0
SM3,Optimized,L4,decaps,200,20,256506145,1282530.73,779.71,2914,3170,11672,32,0
