version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SHAKE,Reference,L1,keypair,10000,1000,635306490,63530.65,15740.43,610,706,2108,32,0
SHAKE,Reference,L1,encaps,10000,1000,1035698444,103569.84,9655.32,610,706,2108,32,0
SHAKE,Reference,L1,decaps,10000,1000,1307706395,130770.64,7646.98,610,706,2108,32,0
SHAKE,Reference,L2,keypair,10000,1000,2264506754,226450.68,4415.97,1186,1282,4518,32,0
SHAKE,Reference,L2,encaps,10000,1000,2838665523,283866.55,3522.78,1186,1282,4518,32,0
SHAKE,Reference,L2,decaps,10000,1000,3223013820,322301.38,3102.69,1186,1282,4518,32,0
SHAKE,Reference,L3,keypair,10000,1000,5120036194,512003.62,1953.11,1954,2114,7976,32,0
SHAKE,Reference,L3,encaps,10000,1000,5955794529,595579.45,1679.04,1954,2114,7976,32,0
SHAKE,Reference,L3,decaps,10000,1000,6718089267,671808.93,1488.52,1954,2114,7976,32,0
SHAKE,Reference,L4,keypair,10000,1000,10808797591,1080879.76,925.17,2914,3170,11672,32,0
SHAKE,Reference,L4,encaps,10000,1000,11715706058,1171570.61,853.56,2914,3170,11672,32,0
SHAKE,Reference,L4,decaps,10000,1000,13758084941,1375808.49,726.85,2914,3170,11672,32,0
SHAKE,Optimized,L1,keypair,10000,1000,626472461,62647.25,15962.39,610,706,2108,32,0
SHAKE,Optimized,L1,encaps,10000,1000,1015143530,101514.35,9850.82,610,706,2108,32,0
SHAKE,Optimized,L1,decaps,10000,1000,1278271473,127827.15,7823.06,610,706,2108,32,0
SHAKE,Optimized,L2,keypair,10000,1000,2211728149,221172.81,4521.35,1186,1282,4518,32,0
SHAKE,Optimized,L2,encaps,10000,1000,2749467977,274946.80,3637.07,1186,1282,4518,32,0
SHAKE,Optimized,L2,decaps,10000,1000,3169866516,316986.65,3154.71,1186,1282,4518,32,0
SHAKE,Optimized,L3,keypair,10000,1000,4855047453,485504.75,2059.71,1954,2114,7976,32,0
SHAKE,Optimized,L3,encaps,10000,1000,5801006968,580100.70,1723.84,1954,2114,7976,32,0
SHAKE,Optimized,L3,decaps,10000,1000,6480104138,648010.41,1543.19,1954,2114,7976,32,0
SHAKE,Optimized,L4,keypair,10000,1000,10494054908,1049405.49,952.92,2914,3170,11672,32,0
SHAKE,Optimized,L4,encaps,10000,1000,11726498834,1172649.88,852.77,2914,3170,11672,32,0
SHAKE,Optimized,L4,decaps,10000,1000,13736438376,1373643.84,727.99,2914,3170,11672,32,0
SM3,Reference,L1,keypair,10000,1000,663705442,66370.54,15066.92,610,706,2108,32,0
SM3,Reference,L1,encaps,10000,1000,1051372015,105137.20,9511.38,610,706,2108,32,0
SM3,Reference,L1,decaps,10000,1000,1301596910,130159.69,7682.87,610,706,2108,32,0
SM3,Reference,L2,keypair,10000,1000,2195070752,219507.08,4555.66,1186,1282,4518,32,0
SM3,Reference,L2,encaps,10000,1000,2773295232,277329.52,3605.82,1186,1282,4518,32,0
SM3,Reference,L2,decaps,10000,1000,3242696615,324269.66,3083.85,1186,1282,4518,32,0
SM3,Reference,L3,keypair,10000,1000,4791232218,479123.22,2087.15,1954,2114,7976,32,0
SM3,Reference,L3,encaps,10000,1000,5902843913,590284.39,1694.10,1954,2114,7976,32,0
SM3,Reference,L3,decaps,10000,1000,6614810500,661481.05,1511.76,1954,2114,7976,32,0
SM3,Reference,L4,keypair,10000,1000,10291978531,1029197.85,971.63,2914,3170,11672,32,0
SM3,Reference,L4,encaps,10000,1000,11575032362,1157503.24,863.93,2914,3170,11672,32,0
SM3,Reference,L4,decaps,10000,1000,12679368442,1267936.84,788.68,2914,3170,11672,32,0
SM3,Optimized,L1,keypair,10000,1000,645060180,64506.02,15502.43,610,706,2108,32,0
SM3,Optimized,L1,encaps,10000,1000,1042783035,104278.30,9589.72,610,706,2108,32,0
SM3,Optimized,L1,decaps,10000,1000,1333772986,133377.30,7497.53,610,706,2108,32,0
SM3,Optimized,L2,keypair,10000,1000,2111547276,211154.73,4735.86,1186,1282,4518,32,0
SM3,Optimized,L2,encaps,10000,1000,2630369195,263036.92,3801.75,1186,1282,4518,32,0
SM3,Optimized,L2,decaps,10000,1000,3050007401,305000.74,3278.68,1186,1282,4518,32,0
SM3,Optimized,L3,keypair,10000,1000,4652027577,465202.76,2149.60,1954,2114,7976,32,0
SM3,Optimized,L3,encaps,10000,1000,5434012897,543401.29,1840.26,1954,2114,7976,32,0
SM3,Optimized,L3,decaps,10000,1000,5863250762,586325.08,1705.54,1954,2114,7976,32,0
SM3,Optimized,L4,keypair,10000,1000,10906426250,1090642.62,916.89,2914,3170,11672,32,0
SM3,Optimized,L4,encaps,10000,1000,12150430572,1215043.06,823.02,2914,3170,11672,32,0
SM3,Optimized,L4,decaps,10000,1000,13286602102,1328660.21,752.64,2914,3170,11672,32,0
