version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SM3,Reference,L1,keypair,1000,50,63955954,63955.95,15635.76,610,706,2108,32,0
SM3,Reference,L1,encaps,1000,50,102748309,102748.31,9732.52,610,706,2108,32,0
SM3,Reference,L1,decaps,1000,50,130236038,130236.04,7678.37,610,706,2108,32,0
SM3,Reference,L2,keypair,1000,50,218653322,218653.32,4573.45,1186,1282,4518,32,0
SM3,Reference,L2,encaps,1000,50,275524158,275524.16,3629.45,1186,1282,4518,32,0
SM3,Reference,L2,decaps,1000,50,320494246,320494.25,3120.18,1186,1282,4518,32,0
SM3,Reference,L3,keypair,1000,50,476719422,476719.42,2097.67,1954,2114,7976,32,0
SM3,Reference,L3,encaps,1000,50,554086182,554086.18,1804.77,1954,2114,7976,32,0
SM3,Reference,L3,decaps,1000,50,630272349,630272.35,1586.62,1954,2114,7976,32,0
SM3,Reference,L4,keypair,1000,50,1086473635,1086473.64,920.41,2914,3170,11672,32,0
SM3,Reference,L4,encaps,1000,50,1222475982,1222475.98,818.01,2914,3170,11672,32,0
SM3,Reference,L4,decaps,1000,50,1345474037,1345474.04,743.23,2914,3170,11672,32,0
SM3,Optimized,L1,keypair,1000,50,64042095,64042.10,15614.73,610,706,2108,32,0
SM3,Optimized,L1,encaps,1000,50,102206812,102206.81,9784.08,610,706,2108,32,0
SM3,Optimized,L1,decaps,1000,50,128139790,128139.79,7803.98,610,706,2108,32,0
SM3,Optimized,L2,keypair,1000,50,219941213,219941.21,4546.67,1186,1282,4518,32,0
SM3,Optimized,L2,encaps,1000,50,274636371,274636.37,3641.18,1186,1282,4518,32,0
SM3,Optimized,L2,decaps,1000,50,317061925,317061.92,3153.96,1186,1282,4518,32,0
SM3,Optimized,L3,keypair,1000,50,479980337,479980.34,2083.42,1954,2114,7976,32,0
SM3,Optimized,L3,encaps,1000,50,573414886,573414.89,1743.94,1954,2114,7976,32,0
SM3,Optimized,L3,decaps,1000,50,642092787,642092.79,1557.41,1954,2114,7976,32,0
SM3,Optimized,L4,keypair,1000,50,1043343055,1043343.06,958.46,2914,3170,11672,32,0
SM3,Optimized,L4,encaps,1000,50,1183343134,1183343.13,845.06,2914,3170,11672,32,0
SM3,Optimized,L4,decaps,1000,50,1283676632,1283676.63,779.01,2914,3170,11672,32,0
