version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SHAKE,Reference,L1,keypair,200,20,17229397,86146.99,11608.07,610,706,2108,32,0
SHAKE,Reference,L1,encaps,200,20,20863548,104317.74,9586.10,610,706,2108,32,0
SHAKE,Reference,L1,decaps,200,20,26954348,134771.74,7419.95,610,706,2108,32,0
SHAKE,Reference,L2,keypair,200,20,42698685,213493.42,4683.98,1186,1282,4518,32,0
SHAKE,Reference,L2,encaps,200,20,53870245,269351.22,3712.62,1186,1282,4518,32,0
SHAKE,Reference,L2,decaps,200,20,65564731,327823.66,3050.42,1186,1282,4518,32,0
SHAKE,Reference,L3,keypair,200,20,89484197,447420.98,2235.03,1954,2114,7976,32,0
SHAKE,Reference,L3,encaps,200,20,103758595,518792.97,1927.55,1954,2114,7976,32,0
SHAKE,Reference,L3,decaps,200,20,113933018,569665.09,1755.42,1954,2114,7976,32,0
SHAKE,Reference,L4,keypair,200,20,199748792,998743.96,1001.26,2914,3170,11672,32,0
SHAKE,Reference,L4,encaps,200,20,220543065,1102715.32,906.85,2914,3170,11672,32,0
SHAKE,Reference,L4,decaps,200,20,239254900,1196274.50,835.93,2914,3170,11672,32,0
SHAKE,Optimized,L1,keypair,200,20,17421998,87109.99,11479.74,610,706,2108,32,0
SHAKE,Optimized,L1,encaps,200,20,21121226,105606.13,9469.15,610,706,2108,32,0
SHAKE,Optimized,L1,decaps,200,20,25708141,128540.71,7779.64,610,706,2108,32,0
SHAKE,Optimized,L2,keypair,200,20,42923681,214618.40,4659.43,1186,1282,4518,32,0
SHAKE,Optimized,L2,encaps,200,20,52776471,263882.35,3789.57,1186,1282,4518,32,0
SHAKE,Optimized,L2,decaps,200,20,59075405,295377.03,3385.50,1186,1282,4518,32,0
SHAKE,Optimized,L3,keypair,200,20,93309368,466546.84,2143.41,1954,2114,7976,32,0
SHAKE,Optimized,L3,encaps,200,20,105026851,525134.26,1904.27,1954,2114,7976,32,0
SHAKE,Optimized,L3,decaps,200,20,119403311,597016.56,1675.00,1954,2114,7976,32,0
SHAKE,Optimized,L4,keypair,200,20,200657125,1003285.62,996.73,2914,3170,11672,32,0
SHAKE,Optimized,L4,encaps,200,20,224856181,1124280.91,889.46,2914,3170,11672,32,0
SHAKE,Optimized,L4,decaps,200,20,246920258,1234601.29,809.98,2914,3170,11672,32,0
SM3,Reference,L1,keypair,200,20,18045955,90229.77,11082.82,610,706,2108,32,0
SM3,Reference,L1,encaps,200,20,21239062,106195.31,9416.61,610,706,2108,32,0
SM3,Reference,L1,decaps,200,20,27273625,136368.12,7333.09,610,706,2108,32,0
SM3,Reference,L2,keypair,200,20,43032830,215164.15,4647.61,1186,1282,4518,32,0
SM3,Reference,L2,encaps,200,20,52082881,260414.40,3840.03,1186,1282,4518,32,0
SM3,Reference,L2,decaps,200,20,62932000,314660.00,3178.03,1186,1282,4518,32,0
SM3,Reference,L3,keypair,200,20,91839569,459197.84,2177.71,1954,2114,7976,32,0
SM3,Reference,L3,encaps,200,20,105568100,527840.50,1894.51,1954,2114,7976,32,0
SM3,Reference,L3,decaps,200,20,118313157,591565.79,1690.43,1954,2114,7976,32,0
SM3,Reference,L4,keypair,200,20,194411543,972057.71,1028.75,2914,3170,11672,32,0
SM3,Reference,L4,encaps,200,20,218800120,1094000.60,914.08,2914,3170,11672,32,0
SM3,Reference,L4,decaps,200,20,239236910,1196184.55,835.99,2914,3170,11672,32,0
SM3,Optimized,L1,keypair,200,20,17361127,86805.63,11519.99,610,706,2108,32,0
SM3,Optimized,L1,encaps,200,20,20754953,103774.76,9636.25,610,706,2108,32,0
SM3,Optimized,L1,decaps,200,20,25486435,127432.18,7847.31,610,706,2108,32,0
SM3,Optimized,L2,keypair,200,20,41694411,208472.05,4796.81,1186,1282,4518,32,0
SM3,Optimized,L2,encaps,200,20,51537344,257686.72,3880.68,1186,1282,4518,32,0
SM3,Optimized,L2,decaps,200,20,58738568,293692.84,3404.92,1186,1282,4518,32,0
SM3,Optimized,L3,keypair,200,20,87809613,439048.07,2277.65,1954,2114,7976,32,0
SM3,Optimized,L3,encaps,200,20,103479186,517395.93,1932.76,1954,2114,7976,32,0
SM3,Optimized,L3,decaps,200,20,115142631,575713.16,1736.98,1954,2114,7976,32,0
SM3,Optimized,L4,keypair,200,20,199236932,996184.66,1003.83,2914,3170,11672,32,0
SM3,Optimized,L4,encaps,200,20,219908033,1099540.17,909.47,2914,3170,11672,32,0
SM3,Optimized,L4,decaps,200,20,241740444,1208702.22,827.33,2914,3170,11672,32,0
