level,operation,before_avg_ns,after_avg_ns,before_us,after_us,speedup
L1,decaps,130874.65,95476.87,130.87,95.48,1.37
L1,encaps,103438.13,68624.11,103.44,68.62,1.51
L1,keypair,63512.98,35626.93,63.51,35.63,1.78
L2,decaps,320480.61,211728.57,320.48,211.73,1.51
L2,encaps,275408.43,164856.87,275.41,164.86,1.67
L2,keypair,218176.72,113079.91,218.18,113.08,1.93
L3,decaps,644718.58,385201.65,644.72,385.20,1.67
L3,encaps,584608.69,309221.23,584.61,309.22,1.89
L3,keypair,495309.30,249975.36,495.31,249.98,1.98
L4,decaps,1292411.09,671461.37,1292.41,671.46,1.92
L4,encaps,1173592.51,516436.86,1173.59,516.44,2.27
L4,keypair,1040184.28,388564.00,1040.18,388.56,2.68
